latitude,longitude,rainfall_mm_hr,reliability_flag
20.75,81.25,0.0,0
20.85,81.25,0.0,0
20.95,81.25,0.0,0
21.05,81.25,0.0,0
21.15,81.25,0.0,0
21.25,81.25,0.0,0
21.35,81.25,0.0,0
21.45,81.25,0.0,0
21.55,81.25,0.0,0
21.65,81.25,0.0,0
21.75,81.25,0.0,0
21.85,81.25,0.0,0
21.95,81.25,0.0,0
22.05,81.25,0.0,0
22.15,81.25,0.0,0
22.25,81.25,0.0,0
22.35,81.25,0.0,0
22.45,81.25,0.0,0
22.55,81.25,0.0,0
22.65,81.25,0.0,0
22.75,81.25,0.0,0
17.55,81.35,0.0,0
17.65,81.35,0.0,0
17.75,81.35,0.0,0
17.85,81.35,0.0,0
17.95,81.35,0.0,0
18.05,81.35,0.0,0
18.15,81.35,0.0,0
18.25,81.35,0.0,0
18.35,81.35,0.0,0
18.45,81.35,0.0,0
18.55,81.35,0.0,0
18.65,81.35,0.0,0
18.75,81.35,0.0,0
18.85,81.35,0.0,0
18.95,81.35,0.0,0
19.05,81.35,0.0,0
19.15,81.35,0.72443074,0
19.25,81.35,0.9329127,0
19.35,81.35,1.0117499,0
19.45,81.35,0.9642565,0
19.55,81.35,1.1545675,0
19.65,81.35,1.6346045,0
19.75,81.35,1.1906224,0
19.85,81.35,0.816409,0
19.95,81.35,0.0,0
20.05,81.35,0.0,0
20.15,81.35,0.0,0
20.25,81.35,0.0,0
20.35,81.35,0.0,0
20.45,81.35,0.0,0
20.55,81.35,0.0,0
20.65,81.35,0.0,0
20.75,81.35,0.0,0
20.85,81.35,0.0,0
20.95,81.35,0.0,0
21.05,81.35,0.0,0
21.15,81.35,0.0,0
21.25,81.35,0.0,0
21.35,81.35,0.0,0
21.45,81.35,0.0,0
21.55,81.35,0.0,0
21.65,81.35,0.0,0
21.75,81.35,0.0,0
21.85,81.35,0.0,0
21.95,81.35,0.0,0
22.05,81.35,0.0,0
22.15,81.35,0.0,0
22.25,81.35,0.0,0
22.35,81.35,0.0,0
22.45,81.35,0.0,0
22.55,81.35,0.0,0
22.65,81.35,0.0,0
22.75,81.35,0.0,0
17.55,81.45,0.0,0
17.65,81.45,0.0,0
17.75,81.45,0.0,0
17.85,81.45,0.0,0
17.95,81.45,0.0,0
18.05,81.45,0.0,0
18.15,81.45,0.0,0
18.25,81.45,0.0,0
18.35,81.45,0.0,0
18.45,81.45,0.0,0
18.55,81.45,0.0,0
18.65,81.45,0.0,0
18.75,81.45,0.0,0
18.85,81.45,0.0,0
18.95,81.45,0.0,0
19.05,81.45,0.78927505,0
19.15,81.45,0.88163453,0
19.25,81.45,1.0619017,0
19.35,81.45,1.2120712,0
19.45,81.45,0.0,0
19.55,81.45,1.2169577,0
19.65,81.45,1.7138904,0
