timestamp,latitude,longitude,rainfall_mm_hr
2026-07-28,18.95,80.55,1.7412809
2026-07-28,19.05,80.55,2.6420112
2026-07-28,19.15,80.55,3.9190807
2026-07-28,19.25,80.55,4.800321
2026-07-28,19.35,80.55,5.3164363
2026-07-28,19.45,80.55,5.232085
2026-07-28,19.55,80.55,3.7182143
2026-07-28,19.65,80.55,3.0218463
2026-07-28,19.75,80.55,2.1494427
2026-07-28,19.85,80.55,1.4939835
2026-07-28,19.95,80.55,0.77961373
2026-07-28,20.05,80.55,0.0
2026-07-28,20.15,80.55,0.0
2026-07-28,20.25,80.55,0.13991323
2026-07-28,20.35,80.55,0.6571013
2026-07-28,20.45,80.55,0.778505
2026-07-28,20.55,80.55,1.4704211
2026-07-28,20.65,80.55,2.1195335
2026-07-28,20.75,80.55,1.8704622
2026-07-28,20.85,80.55,0.20082726
2026-07-28,20.95,80.55,0.13492003
2026-07-28,21.05,80.55,0.21551146
2026-07-28,21.15,80.55,0.16196524
2026-07-28,21.25,80.55,0.0
2026-07-28,21.35,80.55,0.0
2026-07-28,21.45,80.55,0.0
2026-07-28,21.55,80.55,0.0
2026-07-28,21.65,80.55,0.0
2026-07-28,21.75,80.55,0.0
2026-07-28,21.85,80.55,0.0
2026-07-28,21.95,80.55,0.0
2026-07-28,22.05,80.55,0.0
2026-07-28,22.15,80.55,0.0
2026-07-28,22.25,80.55,0.0
2026-07-28,22.35,80.55,0.0
2026-07-28,22.45,80.55,0.0
2026-07-28,22.55,80.55,0.0
2026-07-28,22.65,80.55,0.0
2026-07-28,22.75,80.55,0.0
2026-07-28,17.55,80.65,0.0
2026-07-28,17.65,80.65,0.0
2026-07-28,17.75,80.65,0.0
2026-07-28,17.85,80.65,0.0
2026-07-28,17.95,80.65,0.0
2026-07-28,18.05,80.65,0.0
2026-07-28,18.15,80.65,0.0
2026-07-28,18.25,80.65,0.0
2026-07-28,18.35,80.65,0.0
2026-07-28,18.45,80.65,0.0
2026-07-28,18.55,80.65,0.0
2026-07-28,18.65,80.65,0.0
2026-07-28,18.75,80.65,0.0
2026-07-28,18.85,80.65,0.0
2026-07-28,18.95,80.65,0.0
2026-07-28,19.05,80.65,2.1116662
2026-07-28,19.15,80.65,3.3537903
2026-07-28,19.25,80.65,3.9821677
2026-07-28,19.35,80.65,4.8807325
2026-07-28,19.45,80.65,5.1209054
2026-07-28,19.55,80.65,3.8497424
2026-07-28,19.65,80.65,2.666567
2026-07-28,19.75,80.65,1.6074908
2026-07-28,19.85,80.65,1.028306
2026-07-28,19.95,80.65,0.0
2026-07-28,20.05,80.65,0.0
2026-07-28,20.15,80.65,0.0
2026-07-28,20.25,80.65,0.17833787
2026-07-28,20.35,80.65,0.88959587
2026-07-28,20.45,80.65,0.65873045
2026-07-28,20.55,80.65,1.1845132
2026-07-28,20.65,80.65,2.126092
2026-07-28,20.75,80.65,2.1355436
2026-07-28,20.85,80.65,1.31718
2026-07-28,20.95,80.65,0.1730494
2026-07-28,21.05,80.65,0.24484943
2026-07-28,21.15,80.65,0.21355593
2026-07-28,21.25,80.65,0.0
2026-07-28,21.35,80.65,0.0
2026-07-28,21.45,80.65,0.0
2026-07-28,21.55,80.65,0.0
2026-07-28,21.65,80.65,0.0
2026-07-28,21.75,80.65,0.0
2026-07-28,21.85,80.65,0.0
2026-07-28,21.95,80.65,0.0
2026-07-28,22.05,80.65,0.0
2026-07-28,22.15,80.65,0.0
2026-07-28,22.25,80.65,0.0
2026-07-28,22.35,80.65,0.0
2026-07-28,22.45,80.65,0.0
2026-07-28,22.55,80.65,0.0
2026-07-28,22.65,80.65,0.0
2026-07-28,22.75,80.65,0.0
2026-07-28,17.55,80.75,0.0
2026-07-28,17.65,80.75,0.0
2026-07-28,17.75,80.75,0.0
2026-07-28,17.85,80.75,0.0
2026-07-28,17.95,80.75,0.0
2026-07-28,18.05,80.75,0.0
2026-07-28,18.15,80.75,0.0
2026-07-28,18.25,80.75,0.0
2026-07-28,18.35,80.75,0.0
2026-07-28,18.45,80.75,0.0
2026-07-28,18.55,80.75,0.0
2026-07-28,18.65,80.75,0.0
2026-07-28,18.75,80.75,0.0
2026-07-28,18.85,80.75,0.0
2026-07-28,18.95,80.75,0.0
2026-07-28,19.05,80.75,1.5227635
2026-07-28,19.15,80.75,1.9964607
2026-07-28,19.25,80.75,2.539964
2026-07-28,19.35,80.75,3.7207277
2026-07-28,19.45,80.75,3.922044
2026-07-28,19.55,80.75,3.5451872
2026-07-28,19.65,80.75,1.7428974
2026-07-28,19.75,80.75,1.0131012
2026-07-28,19.85,80.75,0.81387883
2026-07-28,19.95,80.75,0.0
2026-07-28,20.05,80.75,0.0
2026-07-28,20.15,80.75,0.0
2026-07-28,20.25,80.75,0.0
2026-07-28,20.35,80.75,0.08640138
2026-07-28,20.45,80.75,0.34483966
2026-07-28,20.55,80.75,0.6724209
2026-07-28,20.65,80.75,1.4527148
2026-07-28,20.75,80.75,1.6728203
2026-07-28,20.85,80.75,0.3688189
2026-07-28,20.95,80.75,0.30114236
2026-07-28,21.05,80.75,0.22141767
2026-07-28,21.15,80.75,0.0
2026-07-28,21.25,80.75,0.0
2026-07-28,21.35,80.75,0.0
2026-07-28,21.45,80.75,0.0
2026-07-28,21.55,80.75,0.0
2026-07-28,21.65,80.75,0.0
2026-07-28,21.75,80.75,0.0
2026-07-28,21.85,80.75,0.0
2026-07-28,21.95,80.75,0.0
2026-07-28,22.05,80.75,0.0
2026-07-28,22.15,80.75,0.0
2026-07-28,22.25,80.75,0.0
2026-07-28,22.35,80.75,0.0
2026-07-28,22.45,80.75,0.0
2026-07-28,22.55,80.75,0.0
2026-07-28,22.65,80.75,0.0
2026-07-28,22.75,80.75,0.0
2026-07-28,17.55,80.85,0.0
2026-07-28,17.65,80.85,0.0
2026-07-28,17.75,80.85,0.0
2026-07-28,17.85,80.85,0.0
2026-07-28,17.95,80.85,0.0
2026-07-28,18.05,80.85,0.0
2026-07-28,18.15,80.85,0.0
2026-07-28,18.25,80.85,0.0
2026-07-28,18.35,80.85,0.0
2026-07-28,18.45,80.85,0.0
2026-07-28,18.55,80.85,0.0
2026-07-28,18.65,80.85,0.0
2026-07-28,18.75,80.85,0.0
2026-07-28,18.85,80.85,0.0
2026-07-28,18.95,80.85,0.0
2026-07-28,19.05,80.85,0.0
2026-07-28,19.15,80.85,1.1745095
2026-07-28,19.25,80.85,1.4541993
2026-07-28,19.35,80.85,2.3764489
2026-07-28,19.45,80.85,2.8394277
2026-07-28,19.55,80.85,2.8025296
2026-07-28,19.65,80.85,1.3849332
2026-07-28,19.75,80.85,0.6020778
2026-07-28,19.85,80.85,0.52603686
